drug_1,drug_2,context,label
3385,11960529,A2058,1.0
3385,24856436,A2058,1.0
3385,11977753,A2058,1.0
3385,3062316,A2058,1.0
3385,46926350,A2058,1.0
3385,176870,A2058,1.0
3385,5288382,A2058,1.0
3385,216453,A2058,1.0
3385,208908,A2058,1.0
3385,24964624,A2058,1.0
3385,24958200,A2058,1.0
3385,24748204,A2058,1.0
3385,11520894,A2058,1.0
3385,46239015,A2058,1.0
3385,9826528,A2058,1.0
3385,216239,A2058,1.0
3385,5329102,A2058,1.0
3385,5394,A2058,1.0
3385,5311,A2058,1.0
11960529,216239,A2058,1.0
24856436,11977753,A2058,1.0
24856436,3062316,A2058,1.0
24856436,46926350,A2058,1.0
24856436,176870,A2058,1.0
24856436,5288382,A2058,1.0
24856436,208908,A2058,1.0
24856436,24964624,A2058,1.0
24856436,24958200,A2058,1.0
24856436,11520894,A2058,1.0
24856436,46239015,A2058,1.0
24856436,9826528,A2058,1.0
24856436,104842,A2058,1.0
24856436,216239,A2058,1.0
24856436,60700,A2058,1.0
11977753,46926350,A2058,1.0
11977753,46239015,A2058,1.0
11977753,498162,A2058,1.0
11977753,216239,A2058,1.0
387447,11960529,A2058,1.0
387447,11977753,A2058,1.0
387447,3062316,A2058,1.0
387447,46239015,A2058,1.0
387447,104842,A2058,1.0
387447,216239,A2058,1.0
2567,11960529,A2058,1.0
2567,24856436,A2058,1.0
2567,11977753,A2058,1.0
2567,387447,A2058,1.0
2567,3062316,A2058,1.0
2567,46926350,A2058,1.0
2567,176870,A2058,1.0
2567,5288382,A2058,1.0
2567,216453,A2058,1.0
2567,208908,A2058,1.0
2567,24964624,A2058,1.0
2567,24958200,A2058,1.0
2567,24748204,A2058,1.0
2567,11520894,A2058,1.0
2567,46239015,A2058,1.0
2567,9826528,A2058,1.0
2567,5329102,A2058,1.0
2567,5311,A2058,1.0
2907,11960529,A2058,1.0
2907,5394,A2058,1.0
3062316,11977753,A2058,1.0
3062316,46926350,A2058,1.0
3062316,11520894,A2058,1.0
3062316,46239015,A2058,1.0
3062316,498162,A2058,1.0
3062316,104842,A2058,1.0
3062316,216239,A2058,1.0
3062316,60700,A2058,1.0
5743,216239,A2058,1.0
31703,24856436,A2058,1.0
31703,387447,A2058,1.0
31703,46926350,A2058,1.0
31703,176870,A2058,1.0
31703,5288382,A2058,1.0
31703,208908,A2058,1.0
31703,9826528,A2058,1.0
31703,5311,A2058,1.0
176870,11977753,A2058,1.0
176870,3062316,A2058,1.0
176870,46926350,A2058,1.0
176870,5288382,A2058,1.0
176870,11520894,A2058,1.0
176870,46239015,A2058,1.0
176870,9826528,A2058,1.0
176870,104842,A2058,1.0
176870,216239,A2058,1.0
176870,60700,A2058,1.0
36462,24856436,A2058,1.0
36462,11977753,A2058,1.0
36462,387447,A2058,1.0
36462,46926350,A2058,1.0
36462,176870,A2058,1.0
36462,5288382,A2058,1.0
36462,208908,A2058,1.0
36462,24964624,A2058,1.0
36462,24958200,A2058,1.0
36462,11520894,A2058,1.0
36462,46239015,A2058,1.0
36462,9826528,A2058,1.0
36462,5329102,A2058,1.0
36462,5394,A2058,1.0
36462,5311,A2058,1.0
5288382,11977753,A2058,1.0
5288382,46926350,A2058,1.0
5288382,46239015,A2058,1.0
5288382,498162,A2058,1.0
5288382,104842,A2058,1.0
5288382,216239,A2058,1.0
5288382,60700,A2058,1.0
60749,24856436,A2058,1.0
60749,11977753,A2058,1.0
60749,387447,A2058,1.0
60749,46926350,A2058,1.0
60749,176870,A2058,1.0
60749,5288382,A2058,1.0
60749,208908,A2058,1.0
60749,24964624,A2058,1.0
60749,24748204,A2058,1.0
60749,11520894,A2058,1.0
60749,46239015,A2058,1.0
60749,9826528,A2058,1.0
60749,216239,A2058,1.0
60749,5329102,A2058,1.0
60749,5394,A2058,1.0
216453,24856436,A2058,1.0
216453,11977753,A2058,1.0
216453,387447,A2058,1.0
216453,3062316,A2058,1.0
216453,46926350,A2058,1.0
216453,176870,A2058,1.0
216453,36462,A2058,1.0
216453,5288382,A2058,1.0
216453,60749,A2058,1.0
216453,208908,A2058,1.0
216453,24964624,A2058,1.0
216453,24958200,A2058,1.0
216453,24748204,A2058,1.0
216453,11520894,A2058,1.0
216453,46239015,A2058,1.0
216453,498162,A2058,1.0
216453,9826528,A2058,1.0
216453,104842,A2058,1.0
216453,216239,A2058,1.0
216453,5329102,A2058,1.0
216453,5394,A2058,1.0
216453,60700,A2058,1.0
216453,5311497,A2058,1.0
216453,5311,A2058,1.0
208908,11977753,A2058,1.0
208908,387447,A2058,1.0
208908,3062316,A2058,1.0
208908,46926350,A2058,1.0
208908,176870,A2058,1.0
208908,5288382,A2058,1.0
208908,24964624,A2058,1.0
208908,24958200,A2058,1.0
208908,24748204,A2058,1.0
208908,11520894,A2058,1.0
208908,46239015,A2058,1.0
208908,498162,A2058,1.0
208908,9826528,A2058,1.0
208908,104842,A2058,1.0
208908,216239,A2058,1.0
208908,60700,A2058,1.0
4091,11960529,A2058,1.0
4091,387447,A2058,1.0
4091,11520894,A2058,1.0
4091,9826528,A2058,1.0
126941,46926350,A2058,1.0
126941,216453,A2058,1.0
126941,24964624,A2058,1.0
5746,24856436,A2058,1.0
5746,11977753,A2058,1.0
5746,387447,A2058,1.0
5746,3062316,A2058,1.0
5746,46926350,A2058,1.0
5746,5288382,A2058,1.0
5746,208908,A2058,1.0
5746,24964624,A2058,1.0
5746,24958200,A2058,1.0
5746,24748204,A2058,1.0
5746,11520894,A2058,1.0
5746,46239015,A2058,1.0
5746,9826528,A2058,1.0
5746,5329102,A2058,1.0
5746,5394,A2058,1.0
5746,5311,A2058,1.0
24964624,11977753,A2058,1.0
24964624,3062316,A2058,1.0
24964624,46926350,A2058,1.0
24964624,176870,A2058,1.0
24964624,5288382,A2058,1.0
24964624,11520894,A2058,1.0
24964624,46239015,A2058,1.0
24964624,498162,A2058,1.0
24964624,9826528,A2058,1.0
24964624,104842,A2058,1.0
24964624,216239,A2058,1.0
24964624,60700,A2058,1.0
59691338,3385,A2058,1.0
59691338,11960529,A2058,1.0
59691338,387447,A2058,1.0
59691338,3062316,A2058,1.0
59691338,216453,A2058,1.0
59691338,4091,A2058,1.0
59691338,24748204,A2058,1.0
59691338,11520894,A2058,1.0
59691338,9826528,A2058,1.0
59691338,216239,A2058,1.0
59691338,5329102,A2058,1.0
59691338,60700,A2058,1.0
24958200,46926350,A2058,1.0
24958200,176870,A2058,1.0
24958200,5288382,A2058,1.0
24958200,24964624,A2058,1.0
24958200,11520894,A2058,1.0
24958200,46239015,A2058,1.0
24958200,498162,A2058,1.0
24958200,104842,A2058,1.0
24958200,60700,A2058,1.0
24748204,11977753,A2058,1.0
24748204,3062316,A2058,1.0
24748204,176870,A2058,1.0
24748204,24964624,A2058,1.0
24748204,24958200,A2058,1.0
24748204,11520894,A2058,1.0
24748204,9826528,A2058,1.0
24748204,60700,A2058,1.0
11520894,11977753,A2058,1.0
11520894,46926350,A2058,1.0
11520894,5288382,A2058,1.0
11520894,46239015,A2058,1.0
11520894,498162,A2058,1.0
11520894,104842,A2058,1.0
11520894,216239,A2058,1.0
15953832,3385,A2058,1.0
15953832,11960529,A2058,1.0
15953832,387447,A2058,1.0
15953832,2567,A2058,1.0
15953832,2907,A2058,1.0
15953832,3062316,A2058,1.0
15953832,5743,A2058,1.0
15953832,216453,A2058,1.0
15953832,208908,A2058,1.0
15953832,4091,A2058,1.0
15953832,24964624,A2058,1.0
15953832,11520894,A2058,1.0
15953832,498162,A2058,1.0
15953832,216239,A2058,1.0
15953832,5329102,A2058,1.0
15953832,5394,A2058,1.0
498162,46239015,A2058,1.0
36314,11977753,A2058,1.0
36314,387447,A2058,1.0
36314,5288382,A2058,1.0
36314,216453,A2058,1.0
36314,208908,A2058,1.0
36314,24964624,A2058,1.0
36314,24748204,A2058,1.0
36314,9826528,A2058,1.0
36314,5329102,A2058,1.0
36314,5394,A2058,1.0
9826528,11977753,A2058,1.0
9826528,46926350,A2058,1.0
9826528,5288382,A2058,1.0
9826528,11520894,A2058,1.0
9826528,46239015,A2058,1.0
9826528,498162,A2058,1.0
9826528,216239,A2058,1.0
9826528,60700,A2058,1.0
104842,46926350,A2058,1.0
104842,46239015,A2058,1.0
104842,216239,A2058,1.0
216239,46926350,A2058,1.0
216239,46239015,A2058,1.0
5329102,11960529,A2058,1.0
5329102,24856436,A2058,1.0
5329102,11977753,A2058,1.0
5329102,387447,A2058,1.0
5329102,3062316,A2058,1.0
5329102,46926350,A2058,1.0
5329102,176870,A2058,1.0
5329102,5288382,A2058,1.0
5329102,208908,A2058,1.0
5329102,24964624,A2058,1.0
5329102,24958200,A2058,1.0
5329102,11520894,A2058,1.0
5329102,46239015,A2058,1.0
5329102,498162,A2058,1.0
5329102,9826528,A2058,1.0
5329102,104842,A2058,1.0
5329102,216239,A2058,1.0
5329102,5394,A2058,1.0
5329102,60700,A2058,1.0
